150 3
88 43  2
11  9 10 
99 81 40
20 83 22
63 90 98
67 44 85
79 60 11
91 70 94
13 85 49
77 11 57 
13 88 47 
52 44 65 
84 97 22
73 96 21
61 28 18
27 93 72
67 28 72
 5 95 25
 3 94 41
13  6 31
89 52 82
58 23 91
55 33 57
 1  2 89
79 60 51
74 42  5
14 59  4
71 45 30
13  5 26
60 76 78
 1 45 53
55 26 43
75 44 58
88 47 92
78 11 80
80 81 64
15 82  6
93 68 70  
98  6 94
40 87 34
27 20 98
65 32 28
65 35 64
70  7 62
63 61 43
54  4 47
42 71  6
82 70 11
94 11 43
 4 49 22
34 54 41
91 63 83
50 91 43
50 79 48
11  5 65
 3 81 85
38 99 15
50  4 86
90 10 90
97 19 59
79 24 81
45 15 17
20 66 83
22 48 61
51 96  2
83  4 83
60 82 37
50 74 57
 3 21 85
 1 69  4
13 83 55
63 64 23
67 22 78
19  1 62
21  7 83
89 34 69
83 93 27
60 70 94
83 31 55
67 86 20
71 74 19
60 71 48
25  5 34
26 45 90
82 76 62
60 99 90
54 41 93
26 28 97
97 80 86
30 54 22
21 99 69
71 12 18
12 57 89
13 13 75
47 46 80
95 97 35
90 90 21
67 59  7
61 65 68
23 82 47
34 54 41
91 63 83
50 91 43
50 79 48
11  5 65
 3 81 85
38 99 15
50  4 86
90 10 90
97 19 59
79 24 81
45 15 17
20 66 83
22 48 61
51 96  2
83  4 83
60 82 37
50 74 57
 3 21 85
 1 69  4
13 83 55
63 64 23
67 22 78
19  1 62
21  7 83
89 34 69
83 93 27
60 70 94
83 31 55
67 86 20
71 74 19
60 71 48
25  5 34
26 45 90
82 76 62
60 99 90
54 41 93
26 28 97
97 80 86
30 54 22
21 99 69
71 12 18
12 57 89
13 13 75
47 46 80
95 97 35
90 90 21
67 59  7
61 65 68
23 82 47
